"response","treat"
"problems caused by the influx of illegal immigrants who are crowding our schools and hospitals, lowering the level of ducation and the quality of care in hospitals.","worried"
"if you mean illegal immigration, i'm afraid of who might be getting into this country in unsecured borders.","worried"
"that they should enter the same way my grandparents did, legally. learn english and pay taxes. i don't think that a lot of these asians and east indians should be getting a tax free ride. i'm tired of paying for everyone else.","think"
"legally entering the usa meeting the requirements is the law. entering the usa improperly is a crime. it is unfortunate that the american bar association has fought treating entering the usa as a crime. and our politicians from both parties have been so anxious to get the ""vote"" that they refuse to inforce the law. meanwhile, terorists can walk right in without any problem. no accountability on the part of politicians supported by the news media will bring our nation down eventually. and the normal person will wonder how it happened.","think"
"terror
bombings
killing us
robbing america","worried"
"having criminals immigrate here","worried"
"illegal, draining our goverment resources and making no contibution to our society.  as long as they will do the menial labor, our lazy welfare bums will continue to rob, steal, and murder.  our jails are overcrowded!
if welfare recipients, who are physically able, wont work then no welfare.","worried"
"we are not the lower class people and that is not right","worried"
"i dont have a problem with it as long as they learn english and pay taxes","think"
"i think that people  that come into the united states shouldn't be able to get more for help for living when the states don't even take care of the people that were born and raised here.","worried"
"taking jobs from americans","worried"
"illegal immagrtants and social security","worried"
"when i think of immigration, i think of the people who legally come to this country and apply for the necessary citizenships so that they can get a job and have the benefits of being an american and all the freedoms that come with that.","think"
"illegal imigration is a pox on our society.","think"
"mexicains","think"
"illegals","think"
"the amount of illegal immigration, and exceptions to the legal immigration quotas that happen all the time.  i'm concerned that abuses will sink us soon.","think"
"send them all back","think"
"that we have to many people from other countrys here","think"
"unfair unattainable","think"
"i'm really more worried about world population growth than about immigration per se.  i do feel that immigrants should learn english.  i do not like the idea of spanish being on an equal par with english.  speak what ever you want at home but learn enough english to function in this country.","worried"
"loss of jobs for americans","worried"
"changing the basic makeup of the united states.  creating a population with more socialistic values.  mexico is largely an economic failure, so the immigrants from there may tend to have the values that created that failure.","worried"
"i firmly believe that the u.s. is a melting pot of nationalities and races -- people of different ethnic backgrounds blending into one rich culture - without losing the distinctiveness of their own culture.  in order to accomplish this safely and effectively:  1)immigrants must be in our country legally  2)immigrants need to learn our language  3) immigrants need to obey our laws. fears about illegal immigrants: terrorism, criminal activities, heavy drain on social services & medical services, weighing down the public school systems esl & other special needs.","worried"
"illegal immigration is a drain on the welfare system, although it seems to provide laborers for jobs americans don't want, legal immigration brings  technically skilled workers (h-1b), my great grandparents, and other people who can contribute to the country.","think"
"that all the silliness about immigration will alter the fundamental character of the us as the ""melting pot"" nation.","worried"
"jobs crime taxes","worried"
"ellis island, illegal immigration, new world, fences","think"
"illegals; social security; benefits","think"
"i come from legal immigrant parents. i believe that at this point of war and the economy looking as it is going down, immigration is not a good idea. besides this immigration is what has made the us what it is today. you can experince and live so many cultures.","think"
"people who come to the us to take advantage of the american dream and opportunities. unfortunately, many come over and do not become us citizens but are able to use tax-payer money to pay for their healthcare and welfare.","think"
"i worry about the republican party doing something very stupid.  this country was built on immigration, to deny anyone access to citizenship is unconstitutional.  what happened to give me your poor, sick, and tired?","worried"
"-finding teachers with multi-cultural/multi-lingual skills","worried"
"wages being depressed. criminals coming into the us.","worried"
"leaching on our social structure, hospitals, welfare, jails--all the things we pay taxes for that they do not
more tererism","worried"
"conflicts between working class, illegal profits for companies hiring undocumented immigrants, low job wages, more immigration, overpopulation and competition for jobs.","worried"
"people crossing the border illegally.","think"
"poor economy","think"
"my parents were immigrants from ireland.  everyone has a right to apply for entrance.  we are a nation of immigrants - except for native americans!","think"
"the mexican border
illegal aliens from other countries
people getting a chance to have a decent life
people like our country better than theirs","think"
"i don't think we should legalize aliens smuggled in to usa.","think"
"as an arizona resident who lives 18 miles from the mexican-us border, and who has also spoken to some of these illegals while hiking in the huachuca mtns., i know these people, mostly, come here out of sheer desperation.  sure, some are the same lazy, fat, undereducated jerks that lurk around our own mid-level businesses.  but most simply are people who want what we all do: a comfortable life with as little thinking and suffering as possible, while reproducing at will.  they have told me, babies in arms,that if they remain at home, they have no future but an early death.  that they, maybe, should reduce their birth rate and/or not have children at all, if they cannot support them, simply will never occur to citizens of a catholic country, living a day's walk from a rich country that can be easily milked for what they consider a fortune in life support.  there is no answer to this, so long as 95% of mexico's wealth is controlled by 5% of its people, and the only riches the others have lie in their children.","think"
"the only thing that makes me worry is the econany. immigration did not that happen yrars ago. i know all men are not equal. the rich get richer the poore get poorer. are we not all gods children?","worried"
"the strain on the taxpayer in terms of welfare programs.","worried"
"english not being the common language.","worried"
"if it legal im fine with it.","think"
"nothing","worried"
"immigrants who dont contribute to society or bring bad things to our country.","worried"
"that they will take our jobs!","worried"
"increased poverty due to more people in the us and less jobs.
increased death/robbery when the poor get desperate and turn to crime.","worried"
"people from other countries trying to come here to live or work and they don't always have the proper paper work","think"
"crime
taxes","worried"
"how some of the illegal immigrants get more help from the government than the u.s. citizens who are paying taxes.","worried"
"expenses to our country for health care, education, crime, language changes;  these are people most of whom are entering the united states illegally","worried"
"too many people, not enough jobs.  people that don't speak english.","think"
"a bible verse (send me your weak and hungry) and a one way door","think"
"my ancestors came over as immigrants looking for a better life for their family--today's immigrants are doing the same.  there must be a solution that works for everyone.","think"
"illegals will take jobs, healthcare, and other benefits from legal citizens.","worried"
"i feel like the united states is a giant bowl of a little bit of everything. ""americans"" are becoming a minority in our own country.","worried"
"we need to allow immigration. people from foreign countries will do the jobs we arent willing to do.","worried"
